================================================================================================
H406b  WEEKEND EXTREME-SCALE random-noise hardening of ALL train samples (Fashion-MNIST)
================================================================================================
condition: n = ALL 6000 train samples,  K = 4,000,000 noisy copies/sample
           effective presentations target = 24,000,000,000 (~24.000e9)
           total_steps (at batch 4096) = 5,859,375
noise:     (x + 0.1*(2*rand-1)).clamp(0,1), labeled true class  |  EPS=0.1 PGD_STEPS=10
config:    SmallCNN width=32, SGD(lr=0.05,mom=0.9,wd=5e-4), SEED=0, device=cuda
           gpu = NVIDIA GeForce RTX 4090
           BATCH_START=4096 BATCH_MIN=128  CKPT_EVERY_SEC=300.0

BASELINE reference (n=0, no augmentation):
   clean_acc=0.8785  FGSM_ASR=0.9294  PGD_ASR=1.0000  vuln_PGD=1.0000
   vulnerable test subset = lowest 25% margin (500 samples)

PROGRESS SNAPSHOTS (each = a periodic eval during the long run):
   global_step      pct   batch  clean_acc   FGSM_ASR    PGD_ASR   vuln_PGD   elapsed_s
---------------------------------------------------------------------------------------
     1,049,061   17.90%    4096     0.8140     0.7715     0.8821     0.9842     71370.5
     1,053,476   17.98%    4096     0.8195     0.7724     0.8835     0.9924     71670.6
     1,054,674   18.00%    4096     0.8080     0.7413     0.8818     0.9753     71752.1
     1,059,089   18.08%    4096     0.8110     0.7620     0.8903     0.9880     72052.2
     1,063,504   18.15%    4096     0.8105     0.7699     0.8908     0.9878     72352.2
     1,067,918   18.23%    4096     0.8095     0.7789     0.8851     0.9841     72652.3
     1,072,333   18.30%    4096     0.8150     0.7589     0.8847     0.9837     72952.3
     1,076,747   18.38%    4096     0.8095     0.7715     0.8888     0.9876     73252.3
     1,081,162   18.45%    4096     0.8090     0.7429     0.8850     0.9919     73552.3
     1,085,577   18.53%    4096     0.8130     0.7491     0.8825     0.9798     73852.4
     1,089,991   18.60%    4096     0.8170     0.7460     0.8825     0.9883     74152.4
     1,094,406   18.68%    4096     0.8140     0.7641     0.8814     0.9878     74452.4
     1,098,821   18.75%    4096     0.8140     0.7377     0.8735     0.9838     74752.4
     1,103,236   18.83%    4096     0.8115     0.7357     0.9526     1.0000     75052.5
     1,107,650   18.90%    4096     0.8165     0.7630     0.9314     1.0000     75352.5
     1,112,065   18.98%    4096     0.8215     0.7590     0.9385     0.9961     75652.5
     1,113,267   19.00%    4096     0.8145     0.7796     0.9509     1.0000     75734.4
